id,Gender,eth,school,ctbsm,ctbsl,biling,nabs95
1001,2,4,1,63,36,2,4
1002,2,4,1,27,44,2,4
1003,1,4,1,20,38,2,2
1004,1,4,1,16,38,2,3
1005,1,4,1,2,14,3,3
1006,1,4,1,71,47,0,13
1007,1,4,1,63,33,2,11
1008,2,4,1,3,5,2,7
1009,2,4,1,51,54,2,10
1010,2,6,1,49,36,0,9
1011,1,6,1,31,26,0,4
1012,2,4,1,22,4,2,5
1013,1,4,1,73,72,2,5
1014,1,3,1,77,40,0,3
1015,2,6,1,10,12,1,1
1016,2,4,1,89,70,2,0
1017,1,4,1,34,49,2,1
1018,1,4,1,35,77,2,0
1019,2,3,1,77,44,1,2
1020,2,4,1,4,2,3,24
1021,1,4,1,21,36,2,2
1022,2,4,1,61,76,2,0
1023,2,4,1,41,60,2,1
1024,2,4,1,63,40,2,0
1025,1,4,1,19,29,2,8
1026,2,3,1,55,50,0,3
1027,2,4,1,6,2,0,7
1028,1,4,1,21,32,2,0
1029,2,4,1,70,64,1,2
1030,2,3,1,79,85,0,0
1031,2,4,1,1,41,1,0
1032,1,4,1,29,24,3,1
1033,2,4,1,40,44,2,3
1034,2,2,1,39,44,3,0
1035,2,4,1,68,43,3,0
1036,1,4,1,20,45,3,28
1037,2,4,1,10,49,1,8
1038,2,4,1,84,70,2,5
1039,2,3,1,1,1,0,2
1040,1,4,1,35,54,3,27
1041,1,4,1,32,24,2,5
1042,1,4,1,34,29,3,18
1043,1,4,1,40,66,3,19
1044,2,4,1,29,36,2,9
1045,2,4,1,20,1,1,9
1046,1,4,1,27,20,0,4
1047,2,4,1,74,64,2,2
1048,2,4,1,38,34,1,3
1049,2,4,1,21,11,0,9
1050,1,2,1,81,67,2,20
1051,2,4,1,16,9,1,6
1052,2,2,1,59,59,0,0
1053,2,4,1,48,53,2,27
1054,1,4,1,55,51,2,12
1055,1,4,1,4,20,3,34
1056,2,2,1,57,35,1,1
1057,2,3,1,5,20,0,25
1058,2,3,1,3,6,0,5
1059,1,4,1,23,29,3,3
1060,1,4,1,35,36,1,2
1061,2,4,1,33,60,3,1
1062,1,4,1,27,55,2,7
1063,2,4,1,13,13,1,4
1064,2,4,1,46,26,3,8
1065,1,4,1,30,61,0,6
1066,2,2,1,32,45,0,16
1067,1,3,1,26,32,0,3
1068,1,4,1,14,31,1,4
1069,1,6,1,31,38,1,3
1070,1,4,1,48,26,3,5
1071,2,4,1,72,43,1,0
1072,2,4,1,79,68,0,9
1073,2,6,1,15,68,3,0
1074,2,4,1,24,27,1,8
1075,1,6,1,55,83,0,0
1076,1,3,1,13,24,0,11
1077,2,4,1,34,36,0,4
1078,2,4,1,67,85,1,2
1079,2,4,1,1,6,3,35
1080,1,4,1,21,35,3,23
1081,1,4,1,33,36,3,13
1082,2,4,1,78,76,0,6
1083,1,3,1,84,42,0,0
1084,2,4,1,59,69,2,6
1085,2,4,1,75,51,2,0
1086,2,3,1,22,32,0,8
1087,1,4,1,49,40,0,11
1088,1,4,1,13,87,2,11
1089,2,6,1,84,58,1,4
1090,2,4,1,27,34,2,6
1091,1,4,1,27,49,0,23
1092,1,4,1,70,82,1,5
1093,2,4,1,96,96,2,5
1094,1,3,1,70,75,0,26
1095,1,4,1,10,2,3,7
1096,2,4,1,14,24,3,1
1097,2,4,1,20,44,2,9
1098,2,4,1,11,6,2,11
1099,2,4,1,42,50,2,18
1100,2,4,1,2,4,3,12
1101,2,3,1,24,14,0,3
1102,2,2,1,37,15,3,0
1103,2,4,1,13,4,3,4
1104,2,4,1,3,16,3,10
1105,2,3,1,70,78,0,16
1106,1,4,1,27,53,2,1
1107,1,3,1,1,1,0,9
1108,1,2,1,61,41,2,3
1109,2,4,1,44,29,3,0
1110,2,4,1,35,63,2,9
1111,2,2,1,78,25,3,14
1112,1,4,1,3,30,2,7
1113,2,4,1,21,32,3,3
1114,2,4,1,26,8,3,10
1115,2,4,1,44,77,2,12
1116,1,4,1,47,23,1,6
1117,1,4,1,35,35,2,35
1118,1,3,1,8,12,0,13
1119,1,4,1,87,88,2,3
1120,2,4,1,3,32,3,10
1121,2,4,1,6,8,3,6
1122,2,3,1,89,76,0,0
1123,2,4,1,13,10,3,2
1124,2,4,1,84,94,2,6
1125,2,4,1,90,81,1,5
1126,1,4,1,71,65,2,13
1127,1,3,1,15,2,0,4
1128,1,4,1,41,48,2,5
1129,1,2,1,63,77,0,3
1130,1,4,1,34,48,2,30
1131,1,4,1,45,44,0,16
1132,1,4,1,29,37,0,15
1133,1,4,1,3,2,3,12
1134,2,4,1,35,26,2,1
1135,2,3,1,32,30,0,1
1136,2,4,1,22,25,0,7
1137,1,4,1,81,55,1,1
1138,1,2,1,99,75,2,45
1139,1,4,1,73,37,2,10
1140,2,2,1,69,26,2,3
1141,1,3,1,27,3,0,27
1142,1,4,1,13,21,2,2
1143,1,4,1,76,57,2,13
1144,1,3,1,7,16,0,2
1145,2,4,1,59,46,2,5
1146,1,4,1,29,30,2,5
1147,1,4,1,57,54,2,4
1148,1,4,1,44,53,1,3
1149,1,4,1,53,85,1,20
1150,1,4,1,23,32,3,12
1151,1,3,1,29,40,0,31
1152,2,2,1,40,33,3,6
1153,2,4,1,49,19,2,14
1154,1,3,1,38,44,0,13
1155,2,3,1,31,49,0,6
1156,1,3,1,21,45,0,12
1157,2,3,1,8,16,0,12
1158,2,4,1,37,23,3,0
1159,2,4,1,53,38,2,1
2001,1,5,2,31,51,0,4
2002,2,5,2,57,1,3,0
2003,2,6,2,57,30,0,0
2004,2,5,2,59,75,1,2
2005,1,5,2,29,59,0,1
2006,1,2,2,41,85,1,2
2007,2,5,2,71,66,0,0
2008,1,5,2,59,50,3,0
2009,2,5,2,71,59,0,0
2010,1,5,2,70,66,0,7
2011,2,5,2,77,78,1,2
2012,1,2,2,70,85,1,9
2013,1,5,2,87,60,2,6
2014,2,5,2,59,53,0,4
2015,2,5,2,65,65,0,1
2016,1,4,2,28,44,2,7
2017,2,5,2,77,83,1,0
2018,2,5,2,65,81,1,0
2019,1,5,2,73,85,0,4
2020,2,4,2,99,60,0,2
2021,1,5,2,57,79,2,0
2022,1,5,2,77,50,0,4
2023,1,4,2,57,77,0,2
2024,1,3,2,47,16,0,18
2025,1,5,2,24,54,2,1
2026,2,5,2,84,84,0,0
2027,1,5,2,73,77,2,1
2028,2,5,2,81,66,0,16
2029,1,3,2,52,34,0,6
2030,1,5,2,75,80,0,16
2031,2,2,2,65,91,1,0
2032,1,3,2,44,36,0,8
2033,2,5,2,44,55,0,1
2034,1,5,2,79,96,0,2
2035,1,5,2,20,52,1,3
2036,1,4,2,16,16,3,4
2037,1,4,2,99,36,3,2
2038,1,3,2,71,95,0,4
2039,2,5,2,46,27,2,7
2040,1,4,2,57,63,1,0
2041,1,4,2,67,53,2,1
2042,1,5,2,87,98,0,1
2043,1,5,2,70,53,0,0
2044,1,5,2,21,41,0,13
2045,1,5,2,31,34,0,1
2046,2,5,2,63,72,2,0
2047,1,4,2,44,46,2,1
2048,2,5,2,34,40,3,0
2049,1,3,2,77,85,0,1
2050,1,5,2,94,99,1,0
2051,1,3,2,41,39,0,1
2052,1,5,2,67,70,1,0
2053,1,5,2,61,63,1,2
2054,2,5,2,82,92,0,0
2055,1,3,2,63,67,0,1
2056,2,5,2,63,45,3,0
2057,1,5,2,77,72,1,4
2058,2,5,2,46,52,0,3
2059,2,5,2,8,32,1,1
2060,1,4,2,61,93,1,0
2061,1,2,2,71,69,0,1
2062,1,5,2,65,81,0,4
2063,1,4,2,41,45,1,1
2064,2,4,2,16,20,2,9
2065,1,5,2,22,68,0,0
2066,2,4,2,57,32,2,4
2067,1,2,2,51,57,2,8
2068,2,4,2,74,58,0,13
2069,2,5,2,41,48,2,0
2070,2,5,2,87,62,2,0
2071,2,5,2,67,49,0,0
2072,1,2,2,99,82,2,0
2073,1,4,2,63,88,1,2
2074,1,5,2,65,65,0,5
2075,1,5,2,71,96,0,1
2076,2,5,2,77,79,1,0
2077,1,3,2,67,63,0,0
2078,1,4,2,79,74,2,1
2079,1,5,2,20,50,2,2
2080,2,3,2,84,87,0,1
2081,2,2,2,28,28,2,5
2082,1,5,2,20,17,2,3
2083,2,5,2,26,20,1,1
2084,1,2,2,75,85,0,3
2085,1,5,2,63,85,0,6
2086,2,5,2,39,11,1,8
2087,2,2,2,32,32,1,21
2088,2,4,2,15,18,1,1
2089,1,5,2,55,92,0,7
2090,1,2,2,32,40,0,5
2091,2,2,2,34,32,2,1
2092,1,5,2,67,97,0,1
2093,1,5,2,41,44,2,0
2094,2,5,2,41,56,2,4
2095,1,4,2,29,60,0,0
2096,2,5,2,43,60,0,14
2097,1,4,2,77,52,2,2
2098,1,5,2,53,77,2,2
2099,1,5,2,44,81,2,2
2100,2,5,2,51,37,0,0
2101,2,5,2,67,60,1,1
2102,2,5,2,49,37,0,19
2103,1,2,2,37,44,0,2
2104,2,5,2,65,85,0,11
2105,2,3,2,43,84,0,0
2106,1,4,2,48,57,2,5
2107,1,3,2,99,63,0,13
2108,1,5,2,34,51,1,0
2109,2,5,2,87,94,1,5
2110,2,5,2,75,77,0,3
2111,1,4,2,57,53,2,2
2112,2,5,2,61,99,0,2
2113,2,3,2,73,63,0,5
2114,1,5,2,70,85,1,0
2115,1,5,2,99,99,0,3
2116,2,5,2,73,59,2,0
2117,2,5,2,66,69,0,1
2118,2,4,2,57,24,3,9
2119,2,5,2,77,39,0,1
2120,2,5,2,53,32,3,0
2121,2,5,2,73,72,0,0
2122,2,5,2,84,65,1,1
2123,2,4,2,83,47,0,12
2124,1,5,2,77,72,0,3
2125,2,5,2,44,77,2,0
2126,1,5,2,79,53,0,1
2127,2,3,2,53,67,0,5
2128,1,5,2,43,75,1,1
2129,2,5,2,46,66,0,1
2130,1,4,2,35,65,2,7
2131,1,5,2,63,68,0,6
2132,1,5,2,75,93,2,0
2133,1,5,2,84,66,2,8
2134,2,4,2,41,64,2,0
2135,1,5,2,32,47,2,1
2136,2,4,2,12,4,3,0
2137,2,5,2,61,96,0,4
2138,1,2,2,99,98,1,17
2139,2,1,2,67,39,0,6
2140,1,5,2,35,34,1,0
2141,1,5,2,70,63,2,0
2142,1,5,2,87,84,0,1
2143,2,5,2,70,46,2,3
2144,2,4,2,57,70,1,1
2145,2,5,2,44,67,1,2
2146,1,5,2,26,44,3,2
2147,2,5,2,63,70,0,2
2148,1,4,2,8,5,2,5
2149,1,4,2,46,59,1,41
2150,2,5,2,63,37,2,3
2151,1,6,2,59,85,1,7
2152,1,5,2,46,82,0,1
2153,2,4,2,26,46,2,1
2154,1,5,2,79,81,2,3
2155,1,4,2,59,56,0,0
2156,1,5,2,90,82,0,0
2157,1,5,2,77,84,0,2
